Sample_ID,Model,System_Prompt,Question,Context,Ground_Truth_Answer,Extract_EN
10,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Tỉ lệ liều dùng thuốc Atorpa-E đối với bệnh nhân tăng cholesterol máu và/hoặc bệnh nhân có bệnh mạch vành là bao nhiêu?,"Liều dùng thông thường trong trường hợp tăng cholesterol máu và/hoặc bệnh nhân có bệnh mạch vành:1 - Liều của Atorpa-E là 10/10 mg một ngày – 80/10mg một ngày. Vì thuốc là viên phối hợp, nên không phải tất cả các liều đều có sẵn.
- Liều thường dùng là 10/10mg 1 lần/ngày.
- Liều dùng sẽ được cụ thể hóa cho từng bệnh nhân dựa trên hiệu quả của các xét nghiệm cũng như đáp ứng với liệu pháp điều trị.",Tỉ lệ liều dùng Atorpa-E cho bệnh nhân tăng mỡ và/hoặc có bệnh mạch vành dao động từ 10/10 mg đến 80/10 mg một ngày.,Liều dùng thông thường của Atorpa-E đối với bệnh nhân tăng cholesterol máu và/hoặc bệnh nhân có bệnh mạch vành là 10/10 mg một ngày – 80/10mg một ngày.
11,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Nên làm gì nếu nghi ngờ bị dị ứng với thuốc Aceclofenac STADA?,#NAME?,"Nếu nghi ngờ bị dị ứng với thuốc Aceclofenac STADA, hãy ngừng dùng thuốc và đến gặp bác sĩ để được tư vấn và điều trị kịp thời.","Nếu nghi ngờ bị dị ứng với thuốc Aceclofenac STADA, bạn nên tham khảo ý kiến bác sĩ hoặc dược sĩ để được tư vấn và điều trị phù hợp."
12,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,"Trong quá trình sử dụng Barudon, nếu có bất kỳ phản ứng phụ nào thì người dùng cần làm gì?","Tác dụng phụ có thể gặp phải khi sử dụng Barudon ghi nhận bao gồm:1 - Tiêu chảy, táo bón, chướng bụng.
- Ngứa da và tê.
- Chóng mặt, uể oải, nhức đầu.
- Thiếu hụt phosphat. Trong quá trình sử dụng thuốc này, nếu có xảy ra bất kỳ phản ứng phụ nào thì người dùng cần liên hệ với cơ sở y tế để được thăm khám cụ thể.","Trong quá trình sử dụng Barudon, nếu có bất kỳ phản ứng phụ nào thì người dùng cần liên hệ với cơ sở y tế để được thăm khám cụ thể.","Trong quá trình sử dụng Barudon, nếu có bất kỳ phản ứng phụ nào thì người dùng cần liên hệ với cơ sở y tế để được thăm khám cụ thể."
13,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Sử dụng Aldactone (spironolactone) ở bệnh nhân mẫn cảm với spironolactone sẽ gây ra tác hại gì?,"Chống chỉ định việc dùng thuốc Aldactone (spironolactone) ở bệnh nhân: - Bệnh Addison.
- Tăng Kali huyết.
- Mẫn cảm với spironolactone.
- Suy thận cấp tính, tổn thương thận, vô niệu.","Ở những bệnh nhân mẫn cảm với spironolactone, thuốc này có thể gây ra các phản ứng dị ứng nghiêm trọng, có thể mengan dọa tính mạng.",Sử dụng Aldactone (spironolactone) ở bệnh nhân mẫn cảm với spironolactone sẽ gây ra tác hại là tăng kali huyết.
14,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,"Nếu tôi quên uống một liều Cardilopin, tôi nên làm gì?","Khi quên liều, dùng bổ sung ngay khi nhớ ra. Trường hợp nhớ ra trễ hơn 12 giờ so với giờ dùng thuốc hàng ngày, bỏ qua liều quên và không dùng thêm thuốc để bù khi dùng liều tiếp theo.","Bạn nên dùng bổ sung ngay khi nhớ ra, trường hợp nhớ ra trễ hơn 12 giờ so với giờ dùng thuốc hàng ngày, hãy bỏ qua liều đã quên và không dùng thêm thuốc để bù khi dùng liều tiếp theo.","Nếu bạn quên uống một liều Cardilopin, bạn nên dùng bổ sung ngay khi nhớ ra."
15,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,"Đối với trẻ em, cần chú ý gì khi sử dụng thuốc Cilzec?","Các đối tượng sau đây cần thận trọng khi dùng thuốc:1 - Suy chức năng gan: bệnh nhân bị tắc nghẽn mật hoặc suy chức năng gan cần thận trọng khi sử dụng vì telmisartan thải trừ qua mật là chủ yếu.
- Suy chức năng thận: Thuốc có tác dụng ức chế hệ thống renin- angiotensin-aldosterone, nên có thể làm thay đổi chức năng thận ở những bệnh nhân nhạy cảm.
- Thiểu niệu, urê huyết tiến triển, suy thận cấp (hiếm khi), tử vong (hiếm khi): ở những bệnh nhân có chức năng thận phụ thuộc vào hoạt động của hệ thống renin – angiotensin – aldosterone.
- Cần thận trọng và phải theo dõi chặt chẽ chức năng thận khi sử dụng thuốc có cơ chế giống telmisartan: là thuốc có tác dụng ức chế hệ thống renine-angiotensine-aldosterone, thì đã có báo cáo về những trường hợp làm thay đổi chức năng thận (kể cả suy thận cấp). (Ví dụ phối hợp thuốc ức chế men chuyển và thuốc đối kháng thụ thể angiotensin II).
- Độ hiệu quả, an toàn của thuốc trên trẻ em chưa được làm rõ. Do đó, chỉ sử dụng thuốc cho trẻ em khi có sự chỉ định của bác sĩ.","Độ hiệu quả, an toàn của thuốc trên trẻ em chưa được làm rõ. Do đó, chỉ sử dụng thuốc cho trẻ em khi có sự chỉ định của bác sĩ.","Đối với trẻ em, cần chú ý rằng độ hiệu quả, an toàn của thuốc Cilzec chưa được làm rõ. Do đó, chỉ sử dụng thuốc cho trẻ em khi có sự chỉ định của bác sĩ."
16,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Atarax tương tác với thuốc nào?,#NAME?,"Atarax tương tác với các thuốc như epinephrin, barbiturat, thuốc an thần khác, droperidol, pramlintid, thuốc gây tê mê, rượu, các chất ức chế acetylcholinesterase, chất giảm đau và các thuốc opiat.","Atarax tương tác với thuốc chống đông máu, thuốc chống đông máu khác, thuốc kháng acetylcholin, thuốc opiat, giảm đau, barbiturat, thuốc an thần khác, các thuốc gây tê mê hoặc rượu."
17,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Những điều kiện nào cần thiết để bảo quản thuốc Comozol tốt nhất?,"- Tránh ánh sáng và bảo quản nơi khô mát.
- Nhiệt độ dưới 30°C.","Bạn cần tránh ánh sáng, bảo quản nơi khô mát và giữ thuốc ở nhiệt độ dưới 30°C để bảo quản thuốc Comozol tốt nhất.","Thuốc Comozol cần được tránh ánh sáng và bảo quản nơi khô mát, nhiệt độ dưới 30°C."
18,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Phải làm gì khi xuất hiện triệu chứng bất thường khi sử dụng thuốc Amitriptylin?,"- Để thuốc tránh xa tầm tay của trẻ em và thú cưng trong nhà.
- Bảo quản thuốc ở nơi khô ráo thoáng mát. Tránh tiếp xúc trực tiếp với ánh sáng hoặc để thuốc ở những nơi ẩm ướt.
- Nhiệt độ bảo quản tốt nhất là từ 15 – 30 ºC.
- Thông tin hạn dùng được trình bày đầy đủ trên bao bì sản phẩm. Do đó, hãy kiểm tra cẩn thận thông tin và không nên dùng nếu thuốc đã hết hạn. Bên trên là những thông tin sử dụng thuốc trầm cảm Amitriptylin. Hãy gọi ngay cho bác sĩ nếu xuất hiện bất kỳ một triệu chứng nào bất thường để có thể được xử trí và hỗ trợ kịp thời nhé!",Cần gọi ngay cho bác sĩ để được xử trí và hỗ trợ kịp thời.,"Khi xuất hiện bất kỳ triệu chứng bất thường nào khi sử dụng thuốc Amitriptylin, bạn nên gọi ngay cho bác sĩ để được xử trí và hỗ trợ kịp thời."
19,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,"Nên lưu ý gì khi sử dụng thuốc Coversyl Plus với những người bị suy gan, suy thận?",#NAME?,"Thận trọng dùng thuốc Coversyl Plus ở người suy gan, suy thận.","Tránh dùng thuốc Coversyl Plus với những người bị suy gan, suy thận vì thuốc có thể gây ra các tác dụng phụ nghiêm trọng."
20,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thuốc Argide được sử dụng trong những trường hợp nào khác?,"Thuốc Argide có những tác dụng sau đây:1 - Điều trị bệnh lý tăng Amoniac máu ở bệnh nhân thiếu Enzyme chuyển hoá trong chu trình Ure.
- Điều trị dài ngày cho bệnh nhân có nồng độ Amoniac cao do máu bị Citrulin, Argininosuccinic aciduria niệu.
- Hỗ trợ điều trị các chứng rối loạn khó tiêu.
- Hỗ trợ các bệnh lý về gan.",Thuốc Argide hỗ trợ điều trị các chứng rối loạn khó tiêu và hỗ trợ các bệnh lý về gan.,Thuốc Argide được sử dụng trong các trường hợp rối loạn khó tiêu và các bệnh lý về gan.
21,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thuốc Depakin (valproic acid) có thể gây ra tác dụng phụ gì ở người cao tuổi?,"Những thận trọng khi dùng thuốc Depakin trong các trường hợp: - Nhiễm độc gan
- Dị tật bẩm sinh.
- Viêm tụy
- Có hành vi hoặc suy nghĩ tự sát: thuốc chống động kinh làm tăng nguy cơ suy nghĩ hoặc hành vi tự tử.
- Chảy máu và các rối loạn tạo máu khác: theo dõi số lượng tiểu cầu và xét nghiệm đông máu.
- Bệnh tăng urê huyết.
- Hạ thân nhiệt
- Hội chứng phát ban do thuốc với tăng bạch cầu ái toan và nhiều triệu chứng toàn thân (DRESS).
- Có thể xảy ra tình trạng buồn ngủ ở người cao tuổi.",Thuốc Depakin (valproic acid) có thể gây ra tác dụng phụ buồn ngủ ở người cao tuổi.,Thuốc Depakin (valproic acid) có thể gây ra tình trạng buồn ngủ ở người cao tuổi.
22,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Virus nào có độ nhạy mạnh nhất với Acyclovir Stada 200 mg?,"Thành phần chính của thuốc Acyclovir Stada 200 mg là acyclovir. Đây là một thuốc kháng virus có cấu trúc tương tự nucleosid, có tác dụng chọn lọc trên tế bào nhiễm virus Herpes. Khi vào cơ thể, acyclovir được phosphoryl hóa để trở thành dạng có hoạt tính là acyclovir triphosphat có tác dụng ức chế tổng hợp ADN của virus và sự nhân lên của virus mà không ảnh hưởng gì đến sự chuyển hóa của tế bào bình thường. Acyclovir có tác dụng mạnh nhất trên virus Herpes simplex type 1 và kém hơn ở virus Herpes simplex 2, virus Varicella zoster.","Acyclovir Stada 200 mg có tác dụng mạnh nhất trên virus Herpes simplex type 1, kém hơn ở virus Herpes simplex 2 và virus Varicella zoster.",Virus Herpes simplex type 1 có độ nhạy mạnh nhất với Acyclovir Stada 200 mg.
23,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,"Trước khi sử dụng thuốc Dalacin T, bệnh nhân cần làm gì?","Hãy bôi một lượng nhỏ dung dịch clindamycin lên vùng da bị nổi mụn một lớp mỏng, hai lần mỗi ngày. Lưu ý: Đây chỉ là hướng dẫn liều dùng tham khảo. Liều dùng cụ thể phụ thuộc vào tình trạng sức khỏe và sự tiến triển của bệnh. Để đảm bảo liều dùng phù hợp, bạn nên tham khảo ý kiến ​​bác sĩ hoặc chuyên gia y tế.",Tham khảo ý kiến ​​bác sĩ hoặc chuyên gia y tế để đảm bảo liều dùng phù hợp.,"Trước khi sử dụng thuốc Dalacin T, bệnh nhân cần tham khảo ý kiến ​​bác sĩ hoặc chuyên gia y tế để đảm bảo liều dùng phù hợp."
24,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Trong một chai Calcigenol có chứa lượng Vitamin D2 là bao nhiêu?,"Trong một chai chứa:1 - Tricanxi photphat 3,6g.
- Vitamin D2 72000UI.
- Tá dược vừa đủ.",Trong một chai Calcigenol có chứa 72000UI Vitamin D2.,Trong một chai Calcigenol có chứa 72000UI Vitamin D2.
25,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Tôi có nên rửa tay trước khi sử dụng thuốc Combigan không?,"- Đọc kỹ hướng dẫn sử dụng trước khi dùng.
- Không sử dụng thuốc trong khi đeo kính áp tròng. Việc đeo kính áp tròng cần đợi ít nhất 15 phút sau khi dùng thuốc.
- Rửa sạch tay trước khi dùng thuốc.
- Không chạm vào đầu ống nhỏ mắt hoặc đặt trực tiếp lên mắt của bạn.
- Không sử dụng thuốc nhỏ mắt Combigan nếu chất lỏng đã thay đổi màu sắc hoặc có các hạt nhỏ, mịn.","Có, bạn cần rửa sạch tay trước khi sử dụng thuốc Combigan để tránh nhiễm trùng mắt.","Có, bạn nên rửa sạch tay trước khi sử dụng thuốc."
26,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,An Cung Ngưu Hoàng Hoàn có thể dùng cho các trường hợp đột quỵ hay tai biến mạch máu não nào không?,"Để nơi khô ráo, thoáng mát, ở nhiệt độ phòng. Tránh xa tầm tay của trẻ. Thuốc An Cung Ngưu Hoàng Hoàn giúp ôn nhiệt bệnh, hạ sốt,.. Tuy nhiên, thuốc không phải là thần dược chữa được mọi trường hợp đột quỵ nên không thể dùng cho tất cả các trường hợp đột quỵ hay tai biến mạch máu não. Vì thế, việc dùng thuốc cần được chỉ định và theo dõi của chuyên gia y tế.","Không thể dùng cho tất cả các trường hợp đột quỵ hay tai biến mạch máu não, việc dùng thuốc cần được chỉ định và theo dõi của chuyên gia y tế.","Không, An Cung Ngưu Hoàng Hoàn không thể dùng cho tất cả các trường hợp đột quỵ hay tai biến mạch máu não."
27,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Người bệnh có thể dùng thuốc Avelox không nếu đang gặp vấn đề với tim?,"- Dị ứng với hoạt chất moxifloxacin, bất kỳ loại kháng sinh quinolone nào khác hoặc bất kỳ thành phần nào khác của thuốc này.
- Đối tượng phụ nữ đang mang thai hoặc cho con bú không nên sử dụng.
- Bệnh nhân <18 tuổi.
- Đã từng bị bệnh hoặc bị rối loạn gân gót có liên quan đến điều trị kháng sinh quinolone trước đây.
- Nếu bẩm sinh đã có hoặc đã từng có bất kỳ tình trạng bất thường với nhịp tim.
- Mất cân bằng muối trong máu.
- Có bệnh về tim: nhịp tim chậm, suy tim, đã từng xuất hiện tình trạng nhịp tim đập bất thường.
- Bị bệnh gan nặng hoặc men gan (transaminase) cao hơn 5 lần giới hạn bình thường trên.","Không, nếu bệnh nhân đã từng được chẩn đoán rối loạn nhịp tim, suy tim hoặc nhịp tim chậm thì không được sử dụng thuốc này.","Không, người bệnh không nên dùng thuốc Avelox nếu đang gặp vấn đề với tim."
28,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Những đối tượng nào không được sử dụng thuốc trị viêm da axit salicylic có nồng độ trên 10%?,"Thuốc trị viêm da axit salicylic chống chỉ định dùng cho:1 - Người bị mẫn cảm hoặc dễ bị mẫn cảm với thuốc hay bất kỳ thành phần nào trong chế phẩm.
- Bôi trên diện da rộng. Dùng trên vùng da bị nứt nẻ, dễ nhạy cảm hoặc bôi trên niêm mạc. Không dùng các chế phẩm có nồng độ trên 10% cho:1 - Vùng da nhiễm khuẩn, bị viêm, kích ứng.
- Mặt, bộ phận sinh dục, mũi, miệng, trên nốt ruồi, vết chàm, mụn cơm có lông mọc.
- Người bệnh bị đái tháo đường hoặc suy tuần hoàn.",Nồng độ trên 10% của thuốc trị viêm da axit salicylic không được sử dụng cho đối tượng bệnh nhân bị bẹnh tiểu đường hoặc suy tuần hoàn.,Người bị đái tháo đường hoặc suy tuần hoàn không được sử dụng thuốc trị viêm da axit salicylic có nồng độ trên 10%.
29,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thuốc Alphalysosine được sử dụng để điều trị các trường hợp nào?,"Thuốc Alphalysosine là sản phẩm của Công ty TNHH Sản xuất Thương mại Dược phẩm NIC (NIC Pharma). Thuốc chứa hoạt chất Serratiopeptidase, được sử dụng để điều trị các trường hợp viêm nhiễm sau phẫu thuật hay sau chấn thương.",Thuốc Alphalysosine được sử dụng để điều trị các trường hợp viêm nhiễm sau phẫu thuật hay sau chấn thương.,Thuốc Alphalysosine được sử dụng để điều trị các trường hợp viêm nhiễm sau phẫu thuật hay sau chấn thương.
30,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Amoxycilin Vidipha được chỉ định dùng khi nào?,"Thuốc Amoxycilin Vidipha được sử dụng trong các trường hợp sau:1 - Nhiễm khuẩn đường hô hấp trên.
- Nhiễm khuẩn đường hô hấp dưới do liên cầu khuẩn, phế cầu khuẩn, tụ cẩu khuẩn không tiết penicilinase và H. influenzae.
- Nhiễm khuẩn đường tiết niệu không có biến chứng.
- Bệnh lậu.
- Nhiễm khuẩn đường mật.
- Nhiễm khuẩn da và cơ do các liên cầu khuẩn, tụ cầu khuẩn, E. Coli nhạy cảm với Amoxicillin.","Thuốc Amoxycilin Vidipha được sử dụng khi bị nhiễm trùng đường hô hấp trên, dưới do liên cầu khuẩn, phế cầu khuẩn...","Amoxycilin Vidipha được chỉ định dùng khi nhiễm khuẩn đường hô hấp trên, nhiễm khuẩn đường hô hấp dưới do liên cầu khuẩn, phế cầu khuẩn, tụ cẩu khuẩn không tiết penicilinase và H. influenzae, nhiễm khuẩn đường tiết niệu không có biến chứng, bệnh lậu, nhiễm khuẩn đường mật, nhiễm khuẩn da và cơ do các liên cầu khuẩn, tụ cầu khuẩn, E. Coli nhạy cảm với Amoxicillin."
31,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Vì sao nên thận trọng khi dùng thuốc Carbocistein chung với các thuốc kháng kết tập tiểu cầu?,"Một số loại thuốc không nên sử dụng kết hợp với Carbocistein. Đặc biệt là các tác nhân có thể làm trầm trọng hơn tình trạng loét dạ dày. Hãy liệt kê cho bác sĩ biết những loại thuốc hoặc thảo dược mà bạn đang sử dụng gần đây, bao gồm cả thuốc không kê đơn.5 Theo như nghiên cứu, một số loại thuốc nên thận trọng khi dùng chung với Carbocistein được liệt kê dưới đây:5 - Thuốc thuộc nhóm NSAIDs như ibupfofen, diclofenac, naproxen, aspirin, celecoxib…
- Corticosterioid.
- Thuốc kháng kết tập tiểu cầu như clopidogrel, aspirin liều thấp, ticagrelor.","Carbocistein làm tăng hấp thu các thuốc kháng kết tập tiểu cầu vào máu. Do vậy, bạn có nguy cơ dễ bị chảy máu hơn nếu dùng chung Carbocistein với các thuốc kháng kết tập tiểu cầu.","Vì thuốc Carbocistein có thể làm trầm trọng thêm tình trạng loét dạ dày, đồng thời thuốc kháng kết tập tiểu cầu có thể làm tăng nguy cơ hình thành loét dạ dày."
32,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Trong thành phần của thuốc Agiosmin 500mg có thành phần nào làm giảm sinh khả dụng của fexofenadin?,"Thành phần Hesperidin trong thuốc Agiosmin 500mg có thể làm giảm sinh khả dụng của fexofenadin.1 Để tránh tương tác thuốc, hãy thông báo cho bác sĩ hoặc dược sĩ các thuốc bạn đang dùng hoặc đã dùng gần đây, kể các thuốc không kê đơn.",Hesperidin là thành phần trong thuốc Agiosmin 500mg làm giảm sinh khả dụng của fexofenadin.,Thành phần Hesperidin trong thuốc Agiosmin 500mg có thể làm giảm sinh khả dụng của fexofenadin.
33,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Khi nào nên dùng thuốc nhuận trường hoặc thuốc xổ trong trường hợp quá liều Algelstad?,"Trong các trường hợp khẩn cấp, thuốc nhuận trường hoặc thuốc xổ được sử dụng. Trong trường hợp nhiễm độc có triệu chứng, ngưng sử dụng tất cả các nguồn cung cấp nhôm và điều trị với deferoxamin được khuyến cáo. Deferoxamin nên được truyền chậm trong trường hợp này.",Thuốc nhuận trường hoặc thuốc xổ được sử dụng trong các trường hợp khẩn cấp khi quá liều Algelstad.,Trong trường hợp khẩn cấp.
34,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Theo hướng dẫn bảo quản của Agiosmin 500mg thì thuốc nên được bảo quản ở nhiệt độ bao nhiêu?,"- Bảo quản thuốc ở nơi khô ráo, thoáng mát, nhiệt độ không quá 30°C.
- Để thuốc trong bao bì kín, tránh tiếp xúc trực tiếp với ánh sáng.
- Để thuốc tránh xa tầm tay của trẻ em và thú cưng trong nhà. Trên đây là các thông tin chi tiết về công dụng, cách dùng và tác dụng phụ của thuốc Agiosmin 500mg. Nếu còn thắc mắc gì về thuốc, hãy liên hệ với YouMed để được tư vấn ngay bạn nhé!",Thuốc nên được bảo quản ở nhiệt độ không quá 30°C.,Nhiệt độ bảo quản thuốc Agiosmin 500mg không quá 30°C.
