Sample_ID,Model,System_Prompt,Question,Context,Ground_Truth_Answer,Extract_EN,Thinking_Content
10,Qwen/Qwen3-0.6B,Expert_SP_EN,Nêu tên các triệu chứng vận đông điển hình của bệnh Parkinson?,"Là những triệu chứng ảnh hưởng đến chức năng vận động của cơ thể. Đây là những triệu chứng rõ ràng nhất của bệnh Parkinson. Các triệu chứng vận động chính của bệnh là run, chậm vận động, cứng khớp và cân bằng kém (mất ổn định tư thế). Ở giai đoạn đầu, những triệu chứng này thường nhẹ. Các triệu chứng thường bắt đầu ở một bên của cơ thể và có thể tiến triển thành hai bên sau một vài năm. Khi diễn tiến nặng dần, một vài người có thể gặp khó khăn trong việc đi lại, nói chuyện và các công việc thường ngày khác. Các triệu chứng này thường tiến triển chậm. Tuy nhiên tốc độ diễn tiến sẽ khác nhau ở mỗi người. Các triệu chứng của bệnh Parkinson có thể được kiểm soát tốt trong một thời gian dài. - Run Run điển hình trong bệnh Parkinson là run khi nghỉ. Trong giai đoạn sớm, thường là run không liên tục và khó phát hiện. Một số bệnh nhân cho thấy rằng cảm giác “run bên trong” ở tay, chân hoặc cơ thể mà không thể thấy được. Sau này khi cường độ run nhiều hơn, người ta sẽ dễ chú ý hơn. Run thường xảy ra ở một tay và được mô tả như là đang “lăn viên thuốc”. Sau một vài năm có thể diễn tiến thành run hai bên. Các bộ phận khác cũng có thể bị run như chân, môi, hàm hoặc lưỡi. Tuy vậy, run trong bệnh Parkinson thường không ảnh hưởng đến đầu. Bên bị run đầu tiên cũng có xu hướng bị nặng hơn trong suốt diễn tiến của bệnh. - Chậm vận động Đa số mọi bệnh nhân bệnh Parkinson đều có chậm vận động và có thể làm cho người bệnh cảm thấy yếu sức, mệt mỏi. Ở cánh tay, chậm vận động có thể gây khó khăn trong những hoạt động như cài nút áo, buộc dây giày, đánh máy tính… Chậm vận động có thể khiến cho người bệnh khó nhấc chân lên khi đi, bước đi chậm ngắn hơn và cảm giác không vững. Người bệnh cũng có thể gặp những khó khăn khi thay đổi tư thế từ đang ngồi sang đứng dậy. - Cứng cơ Có thể gặp trong vận động của tay, chân hoặc thân mình. Thường khởi đầu ở một bên của cơ thể cùng những triệu chứng khác như run, chậm vận động. Khi bệnh tiến triển, có thể ảnh hưởng cả hai bên. - Mất thăng bằng (mất ổn định tư thế) Thông thường những phản xạ tự động trong não giúp chúng ta giữ được thăng bằng khi đi hoặc đứng. Ở những người bệnh Parkinson những phản xạ tự động này thường giảm hoặc mất, khiến cho người bệnh bị mất thăng bằng. Mất thăng bằng thường hiếm gặp ở giai đoạn đầu của bệnh, mà thường gặp ở giai đoạn trễ. Khi các phản xạ tự động bị mất, người bệnh có thể gặp khó khăn nhiều hơn trong việc đi lại, thậm chí có thể cần có người hỗ trợ hoặc ngồi xe lăn. Nếu như mất thăng bằng tiến triển sớm ở giai đoạn đầu của bệnh, thì sẽ ít khi nghĩ đến bệnh Parkinson hơn, mà có thể nghĩ đến hội chứng Parkinson khác như teo cơ hệ thống hoặc liệt trên nhân tiến triển.","Các triệu chứng vận đông điển hình của bệnh Parkinson là run, chậm vận đông, cứng khớp và mất thăng bang (mất ổn định tư thể).","Triệu chứng điển hình của bệnh Parkinson là: **điều kiện run, chậm vận động, cứng khớp, và mất ổn định tư thế**.","<think>
Okay, let's see. The user is asking for the common symptoms of Parkinson's disease in terms of physical movement. I need to look through the provided context and extract that information.

Looking at the context, there's a section that says, ""Là những triệu chứng ảnh hưởng đến chức năng vận động của cơ thể. Đây là những triệu chứng rõ ràng nhất của bệnh Parkinson. Các triệu chứng vận động chính của bệnh là run, chậm vận động, cứng khớp và cân bằng kém (mất ổn định tư thế)."" So the main points here are that the primary symptoms are run, slow movement, stiffness, and poor balance.

I need to make sure I don't miss any other mentions. There's also a part about ""Là những triệu chứng điển hình trong bệnh Parkinson là run khi nghỉ."" So the answer should list run, slow movement, stiffness, and poor balance as the main symptoms. I should check if there's any other mention of run, but the context seems to focus on those four points. So the answer should be those four symptoms."
11,Qwen/Qwen3-0.6B,Expert_SP_EN,Trong trường hợp nào thì Bisoloc được sử dụng để điều trị suy tim?,"Bisoloc được chỉ định trong một số trường hợp: - Tăng huyết áp.
- Đau thắt ngực.
- Suy tim mạn ổn định, từ vừa đến nặng, kèm giảm chức năng tâm thu thất trái đã được điều trị cùng với các thuốc ức chế enzym chuyển, lợi tiểu, và với glycosid trợ tim. Chỉ định này do thầy thuốc chuyên khoa quyết định Bạn nên nhớ đây là thuốc bán theo đơn và chỉ được sử dụng khi có chỉ dẫn của bác sĩ.","Bisoloc được sử dụng để điều trị suy tim mạn ổn định, từ vừa đến nặng, kèm giảm chức năng tâm thu thất trái đã được điều trị cùng với các thuốc ức chế enzym chuyển, lợi tiểu, và với glycosid trợ tim.","Bisoloc được sử dụng để điều trị suy tim mạn ổn định, từ vừa đến nặng, kèm giảm chức năng tâm thu thất trái, được điều trị cùng với các thuốc ức chế enzym chuyển, lợi tiểu, và với glycosid.","<think>
Okay, let's see. The user is asking, ""In which case is Bisoloc used to treat heart disease?"" based on the provided context.

Looking at the context, the first sentence says Bisoloc is prescribed in some cases: increasing blood pressure, chest pain, and in stable, progressive heart failure with reduced left heart function, treated with drugs that inhibit enzymes, promote diuresis, and glycoside support. The last sentence mentions that the prescription is made by a specialist and that the drug is taken on order and only prescribed by a doctor.

So the answer should be the cases mentioned: increasing blood pressure, chest pain, and stable, progressive heart failure. The question is asking for the specific conditions, so the answer should list those three points. The user probably wants a concise answer in Vietnamese, so I need to make sure the translation is correct."
12,Qwen/Qwen3-0.6B,Expert_SP_EN,Tỷ lệ lưu hành của phì đại thất trái trong dân số nói chung là bao nhiêu?,"Phì đại thất trái hiện diện ở 15% đến 20% dân số nói chung. Nó thường phổ biến hơn ở người da đen, người già, người béo phì và bệnh nhân cao huyết áp. Một đánh giá về dữ liệu siêu âm tim của 37.700 người cho thấy tỷ lệ lưu hành LVH là 19% – 48% ở người cao huyết áp không được điều trị. Và 58% -77% ở bệnh nhân tăng huyết áp có nguy cơ cao. Sự hiện diện của béo phì cũng làm tăng gấp 2 lần nguy cơ phát triển LVH. Tỷ lệ lưu hành LVH dao động từ 36% đến 41% trong dân số, tùy thuộc vào tiêu chí được sử dụng để xác định nó. Tỷ lệ lưu hành LVH không được báo cáo là khác biệt giữa nam và nữ (khoảng 36,0% so với 37,9% . Tỷ lệ phì đại tâm thấn trái lệch tâm tương đối nhiều hơn so với phì đại đồng tâm.",Tỷ lệ lưu hành của phì đại thất trái trong dân số nói chung dao động từ 15% đến 20%.,15% đến 20%,"<think>
Okay, let's see. The user is asking for the percentage of the prevalence of left-sided heart disease in the general population. I need to look through the provided context to find the answer.

Looking at the context, there's a mention that the prevalence is 15% to 20% in the general population. Then it says, ""Phì đại thất trái hiện diện ở 15% đến 20% dân số nói chung."" So that's the direct answer. I should make sure there's no other numbers mentioned in the text. The rest of the context talks about statistics like LVH rates and other factors, but the main number here is the prevalence rate. So the answer should be 15% to 20%, and the user just needs the number, not the range."
13,Qwen/Qwen3-0.6B,Expert_SP_EN,"Trong trường hợp máu mất rỉ ra và không được phát hiện, người bệnh sẽ có những dấu hiệu gì?",".- khi lượng máu mất nhiều và đột ngột, người bệnh có thể có triệu Chứng như đau đầu, chóng mặt, ù tai. nặng nề hơn là khó thở, hạ huyết áp hay ngất. Đây là những dấu hiệu nặng cần được đến cấp cứu ngay.
- Nếu máu mất rỉ ra mà Không được phát hiện, người bệnh sẽ có những dấu hiệu của thiếu máu mạn như xanh xao, mệt mỏi, giảm trí nhớ, giảm vận động,…","Nếu máu mất rỉ ra mà không được phát hiện, người bệnh sẽ có những dấu hiệu của thiếu máu mạn như xanh xao, mệt mỏi, giảm trí nhớ, giảm vận động,…","Trong trường hợp máu mất rỉ ra và không được phát hiện, người bệnh sẽ có những dấu hiệu như xanh xao, mệt mỏi, giảm trí nhớ, và giảm vận động.","<think>
Okay, let's see. The user provided a context and a question, and I need to extract the answer from the text. The context mentions that if the blood loss is sudden and not detected, the symptoms include fatigue, decreased memory, and reduced physical activity. The question is asking what the symptoms are in that case.

Looking at the context again, the second sentence says: ""Nếu máu mất rỉ ra mà không được phát hiện, người bệnh sẽ có những dấu hiệu của thiếu máu mạn như xanh xao, mệt mỏi, giảm trí nhớ, giảm vận động..."" So the answer should list those symptoms. The user wants the direct answer without any explanation, so I just need to copy that part. Let me check again to make sure I didn't miss anything. Yep, the key points are xanh xao, mệt mỏi, giảm trí nhớ, and giảm vận động. That's it."
14,Qwen/Qwen3-0.6B,Expert_SP_EN,Tác dụng của thuốc cisapride trên trẻ em như thế nào?,Thuốc cisaprid bài tiết qua sữa mẹ. Nên thận trọng khi dùng thuốc cho phụ nữ trong thời kỳ cho con bú. Tác dụng trên trẻ em chưa được rõ.,Tác dụng trên trẻ em chưa được rõ.,Tác dụng của thuốc cisapride trên trẻ em như thế nào?,"<think>
Okay, let's see. The user is asking about the effect of cisapride on children. The context provided says that the medication is secreted through breast milk. They also mention that it's important to be cautious during breastfeeding. The last sentence says that the effects on the child are not clear. 

So, the answer should be that the medication is secreted through breast milk, and it's important to be cautious when breastfeeding. The question is asking specifically about the effect on children, so the answer should be in Vietnamese. I need to make sure I don't add any extra explanations here. The context is straightforward, so the answer is clear."
15,Qwen/Qwen3-0.6B,Expert_SP_EN,Giải áp vi mạch là phương pháp như thế nào?,"Một số thủ thuật thường có thể giúp kiểm soát cơn đau do đau dây thần kinh sinh ba nếu điều trị thuốc thất bại, bao gồm: Cắt rễ bằng tần số phóng xạ nhiệt Đây là phương pháp ứng dụng nhiều nhất bằng cách tạo ra tổn thương nhiệt ở hạch hoặc dây thần kinh sinh ba. Ưu điểm: Giảm đau trong giai đoạn ngắn > 80% bệnh nhân điều trị. Nhược điểm: - Những nghiên cứu lâu dài cho thấy đau tái phát trong một số phần trăm bệnh nhân.
- Các biến chứng bao gồm tê một phần mặt, thỉnh thoảng có loạn cảm khó chịu, yếu cơ cắn, và nguy cơ mất phân bố thần kinh giác mạc gây viêm giác mạc thứ phát khi điều trị ở cho nhánh V1 trong đau thần kinh sinh ba. Phẫu thuật phóng xạ bằng tia Gamma Phương pháp này mang lại hiệu quả giảm đau hoàn toàn cho hơn 2/3 bệnh nhân. Ưu điểm: Sự đáp ứng giảm đau thường kéo dài theo thời gian. Các nguy cơ biến chứng nguy hiểm thấp hơn so với phương pháp cắt rễ bằng tần số phóng xạ nhiệt Nhược điểm: Ít hiệu quả hơn một chút so với cắt rễ bằng tần số phóng xạ nhiệt Giải áp vi mạch Phương pháp này đòi hỏi một thủ thuật mở hộp sọ dưới chẩm. Phù hợp với những người có sức khỏe tốt, có thể chịu được phẫu thuật và gây mê toàn thân và có thể chịu được lối sống phù hợp với thời gian hồi phục từ bốn đến sáu tuần. ` Bác sĩ phẫu thuật rạch một đường sau tai và cắt bỏ một mảnh hộp sọ nhỏ để tiếp cận với dây thần kinh và mạch máu. Sau đó, bác sĩ phẫu thuật đặt một lớp đệm cách nhiệt xung quanh mạch máu để nó không còn chèn ép hoặc cọ xát vào dây thần kinh Ưu điểm: - Trong các phương pháp điều trị phẫu thuật khác nhau, nó có tỉ lệ thành công lâu dài cao nhất (~50% bệnh nhân giảm đau hoàn toàn sau 3 năm thực hiện phương pháp này).
- Ngoài ra, có thể thực hiện thực hiện ở bệnh nhân trước đây đã cắt rễ bằng tần số phóng xạ nhiệt hay phẫu thuật phóng xạ bằng tia Gamma có đau trở lại.
- Giải toả áp lực lên dây thần kinh sinh ba.
- Trên 70% có hiệu quả với tỉ lệ thấp tái phát đau. Nhược điểm: Số ít phần trăm các trường hợp tổn thương dây thần kinh sọ VII và VIII quanh thời điểm phẫu thuật. Mặc dù đau dây thần kinh sinh ba không gây tử vong, nhưng những cơn đau và sự lo lắng mà nó gây ra có thể làm giảm chất lượng cuộc sống của một người. Vì thế bệnh nhân cần hợp tác chặt chẽ với bác sỹ để tìm ra phương pháp điều trị tốt nhất cho mỗi cá nhân. Phẫu thuật điều trị bệnh rất tinh vi và chính xác vì vùng liên quan rất nhỏ. Do đó, cần tìm đến các bác sĩ phẫu thuật thần kinh có kinh nghiệm để khám và điều trị hiệu quả nhất.","Giải áp vi mạch là phương pháp phẫu thuật mở hộp sọ dưới chẩm, bác sĩ sẽ rạch một đường sau tai và cắt bỏ một mảnh hộp sọ nhỏ để tiếp cận với dây thần kinh và mạch máu. Sau đó, bác sĩ sẽ đặt một lớp đệm cách nhiệt xung quanh mạch máu để nó không còn chèn ép hoặc cọ xát vào dây thần kinh.","Giải áp vi mạch là phương pháp phẫu thuật áp dụng cho bệnh nhân có sức khỏe tốt, có thể chịu được phẫu thuật và lối sống phù hợp.","<think>
Okay, let's see. The user is asking about the method of ""Giải áp vi mạch"" from the provided context. First, I need to look through the given text to find that specific part.

Looking through the context, there's a section that says: ""Giải áp vi mạch Phương pháp này đòi hỏi một thủ thuật mở hộp sọ dưới chẩm. Phù hợp với những người có sức khỏe tốt, có thể chịu được phẫu thuật và có thể chịu được lối sống phù hợp với thời gian hồi phục từ bốn đến sáu tuần."" 

So, the answer should be that the ""Giải áp vi mạch"" is a surgery that involves an open suture under the chin. The key points here are the method, the procedure, and the conditions it's suitable for. The answer needs to be in Vietnamese, so I'll make sure to translate that accurately."
16,Qwen/Qwen3-0.6B,Expert_SP_EN,Phương pháp nào được sử dụng để chiết xuất tinh dầu hoa cam?,"Tinh dầu hoa cam là tinh dầu chiết xuất từ hoa của cây cam đắng. Tên khoa học: Citrus aurantium L.1 Người ta dùng phương pháp chưng cất tinh dầu bằng hơi nước (steam distillation) hoặc chưng cất hydro (hydrodistillation). Để chiết tách triệt để tinh dầu, người ta còn dùng thêm một số loại dung môi hóa học như hexan. Sau đó tách lọc dung môi, cô đặc mới thu được toàn bộ lượng tinh dầu. Tinh dầu này có mùi hoa ngọt, màu vàng nhạt, và hơi đắng nhẹ.",Phương pháp chưng cất tinh dầu bằng hơi nước (steam distillation) hoặc chưng cất hydro (hydrodistillation) được sử dụng để chiết xuất tinh dầu hoa cam.,Phương pháp được sử dụng để chiết xuất tinh dầu hoa cam là steam distillation hoặc hydrodistillation.,"<think>
Okay, let's see. The user is asking which method is used to extract the camphor oil from the context provided. The context mentions that the method is steam distillation or hydrodistillation. I need to make sure I don't add any extra information. The answer should be straightforward. Let me check again. The text says ""để chiết tách triệt để tinh dầu, người ta còn dùng thêm một số loại dung môi hóa học..."" which translates to ""to extract the oil in a complete way, people also use some chemical solvents."" Then it mentions steam distillation or hydrodistillation. So the answer is either of those two. The question is asking for the method, so the answer is steam distillation or hydrodistillation."
17,Qwen/Qwen3-0.6B,Expert_SP_EN,Thành phần của bài thuốc trị đau bao tử do lạnh dùng Xuyên tiêu gồm những gì?,"Xuyên tiêu 4g, Phụ tử 10g (sắc trước), Khương bán hạ 10g. Tán bột mịn làm hoàn, mỗi lần uống 6g, ngày 2 lần.","Bài thuốc này bao gồm Xuyên tiêu 4g, Phụ tử 10g, Khương bán hạ 10g.","Thành phần của bài thuốc trị đau bao tử do lạnh dùng Xuyên tiêu gồm: Xuyên tiêu 4g, Phụ tử 10g (sắc trước), Khương bán hạ 10g.","<think>
Okay, let's see. The user is asking about the ingredients of the soup for treating stomach pain, specifically using Xuyên tiêu. The context provided is: ""Xuyên tiêu 4g, Phụ tử 10g (sắc trước), Khương bán hạ 10g. Tán bột mịn làm hoàn, mỗi lần uống 6g, ngày 2 lần."" 

First, I need to extract the direct answer from this text. The key points here are the ingredients: Xuyên tiêu 4g, Phụ tử 10g, Khương bán hạ 10g. The last part mentions that the mixture is made up, and each dose is 6g, taken twice a day. The question is asking about the ingredients, so I should list them without the dosage information. The answer should be in Vietnamese, so I need to make sure the terms are correctly translated. Let me check again: ""Xuyên tiêu 4g, Phụ tử 10g (sắc trước), Khương bán hạ 10g."" That's the correct list. No extra explanations are allowed, so just present the ingredients as stated."
18,Qwen/Qwen3-0.6B,Expert_SP_EN,Thành phần chính có trong thuốc Alpha-Kiisin là gì?,"Thuốc Alpha-Kiisin được sản xuất bởi Công ty Cổ phần Pymepharco. Thuốc có thành phần chính là Chymotrypsine (hay Alpha-chymotrypsine). Thuốc được chỉ định dùng trong chống viêm, chống phù nề dạng men. Thuốc có dạng viên nén, 1 hộp gồm 10 vỉ x 10 viên.",Thành phần chính có trong thuốc Alpha-Kiisin là Chymotrypsine (hay Alpha-chymotrypsine).,Chymotrypsine.,"<think>
Okay, let's see. The user is asking about the main components of Alpha-Kiisin. I need to check the provided context again. The context says that the drug is produced by Pymepharco, has the main component as Chymotrypsine, and is in pill form with 10 pills per box. The question is specifically about the main components, so I should focus on that part. The answer should be the Chymotrypsine. I need to make sure not to add any extra information or explanations beyond what's given. Let me just read through the context once more to confirm. Yep, that's all. The answer is clear."
19,Qwen/Qwen3-0.6B,Expert_SP_EN,Nêu tên một số loại thuốc có thể gây suy yếu sự bài tiết của bilirubin liên hợp?,"Bilirubin liên hợp được bài tiết qua màng ống mật của tế bào gan, vận chuyển tích cực ngược chiều gradient nồng độ. Sự tái hấp thu của bilirubin liên hợp bởi các tế bào gan được trung gian bởi các chất vận chuyển anion hữu cơ bề mặt. Tăng cường lưu lượng mật (ví dụ bằng cách truyền muối mật) hoặc điều trị bằng phenobarbital làm tăng khả năng bài tiết bilirubin tối đa. Mặt khác, sự bài tiết của bilirubin liên hợp bị suy yếu trong một số tình trạng mắc phải (ví dụ, viêm gan do rượu hoặc virus, ứ mật của thai kỳ) và các rối loạn di truyền. Nó cũng có thể được gây ra bởi nhiều loại thuốc (ví dụ, steroid được alkyl hóa, chlorpromazine).","Một số loại thuốc có thể gây suy yếu sự bài tiết của bilirubin liên hợp bao gồm steroid được alkyl hóa, chlorpromazine.","Steroid được alkyl hóa, chlorpromazine.","<think>
Okay, let's see. The user is asking for the names of some drugs that can cause the decrease in bilirubin absorption. I need to look through the provided context to find that information.

In the context, it says: ""sự bài tiết của bilirubin liên hợp bị suy yếu trong một số tình trạng mắc phải (ví dụ, viêm gan do rượu hoặc virus, ứ mật của thai kỳ) và các rối loạn di truyền. Nó cũng có thể được gây ra bởi nhiều loại thuốc (ví dụ, steroid được alkyl hóa, chlorpromazine)."" 

So the key points here are that the decrease in bilirubin absorption can occur in conditions like hepatitis due to alcohol or virus, and also due to certain drugs. The example given is steroid being alkylated and chlorpromazine. 

I need to list these drugs. The context mentions ""Steroid được alkyl hóa"" and ""chlorpromazine"". So the answer should include those two. Let me check again to make sure I didn't miss any other drugs mentioned. The original text says ""sự bài tiết... bị suy yếu trong một số tình trạng... và các rối loạn di truyền. Nó cũng có thể được gây ra bởi nhiều loại thuốc..."" So the two drugs are specifically mentioned as steroid and chlorpromazine. 

Therefore, the answer should be ""Steroid được alkyl hóa, chlorpromazine""."
