Sample_ID,Model,System_Prompt,Question,Context,Ground_Truth_Answer,Extracted_Keywords_Initial,Keyword_Helpfulness_Scores,Keyword_Recall_Score_Initial,Extracted_Keywords_After_Filter,Keyword_Recall_Score_After_Filter,Filtered_Noise_Keywords,Extract_EN_Answer,Extract_EN_ROUGE-L,Extract_EN_BLEU,Extract_EN_METEOR,Extract_EN_BERTScore-F1,"Extract_EN_Avg-Score
Keywords","Extract_EN_Answer
No keywords","Extract_EN_Avg-Score
No keywords"
10,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Nh?ng ??i t??ng th??ng g?p ch?ng m?t ng??,"Kh?i phát tri?u ch?ng m?t ng? có th? g?p ? b?t kì giai ?o?n nào trong cu?c ??i, nh?ng giai ?o?n ??u tiên th??ng ph? bi?n ? nh?ng ng??i tr?. Ít khi, m?t ng? ng? x?y ra ? tr? em và tr? v? thành niên. ? ph? n?, m?t kh?i phát m?t ng? m?i có th? x?y ra th?i kì mãn kinh và có th? kéo dài dù nh?ng tri?u ch?ng mãn kinh khác không còn n?a nh? c?m giác b?c h?a. M?t ng? có th? kh?i phát ? giai ?o?n tr? c?a cu?c ??i liên quan ??n kh?i phát nh?ng tình tr?ng y khoa liên quan. M?t ng? có th? là m?t tr?ng thái c?p, dai d?ng hay tái phát. M?t m?t ng? c?p th??ng kéo dài vài ngày hay vài tu?n th??ng liên quan ??n nh?ng s? ki?n trong ??i s?ng ho?c thay ??i ??ng h? sinh h?c ho?c môi tr??ng s?ng. ??i v?i m?t vài cá nhân, m?t ng? có th? ???c gi?i quy?t khi nh?ng s? ki?n ?ó m?t ?i. ??i v?i m?t vài tr??ng h?p khác, m?t ng? có th? kéo dài dai d?ng dù s? ki?n kh?i phát ?ã không còn. Nh?ng y?u t? làm m?t ng? có th? khác v?i nh?ng y?u t? gây m?t ng? kéo dài. Ví d? m?t ng??i n?m li?t gi??ng kèm ?au do ch?n th??ng và khó ng? có th? phát tri?n nh?ng y?u t? b?t l?i ??i v?i gi?c ng?. Tình tr?ng th?c t?nh có th? dai d?ng và d?n ??n m?t ng? dai d?ng. M?t di?n ti?n t??ng t? có th? ti?n tri?n trong b?i c?nh c?a m?t stress tâm lý ho?c r?i lo?n tâm th?n. Ví d?, m?t ng? có th? x?y ra trong m?t giai ?o?n ??u tiên c?a r?i lo?n tr?m c?m ch? y?u có th? tr? thành tâm ?i?m c?a t?p trung v?i nh?ng tình tr?ng k?t qu? âm tính, và dai d?ng sau khi giai ?o?n tr?m c?m ???c gi?i quy?t. Trong m?t tr??ng h?p c?ng có th? kh?i phát âm th?m mà không có y?u t? thúc ??y. Di?n ti?n c?a m?t ng? có th? là nh?ng giai ?o?n v?i nh?ng ??t tái phát liên quan ??n nh?ng s? ki?n stress. T? l? mãn tính t? 45 – 75% cho nh?ng case theo dõi t? 1 – 7 n?m. ??c ?i?m c?a m?t ng? có th? thay ??i theo th?i gian. Nhi?u cá nhân r?i lo?n gi?c ng? nh? tr??c khi có nh?ng v?n ?? dai d?ng v? gi?c ng?. Nh?ng than phi?n v? gi?c ng? th??ng g?p ? trung niên và ng??i già. Nh?ng d?ng c?a tri?u ch?ng m?t ng? thay ??i theo tu?i, khó vào gi?c ng? th??ng g?p ? ng??i tr? tr??ng thành, khó duy trì gi?c ng? th??ng g?p ? ng??i trung niên và ng??i già. Khó ?i vào gi?c ng? ho?c duy trì gi?c ng? có th? x?y ra ? tr? em và tr? v? thành niên nh?ng h?n ch? các s? li?u v? t? l? hi?n m?c, y?u t? nguy c? và b?nh ?i kèm trong nh?ng pha phát tri?n c?a cu?c ??i. Khó ng? ? tr? em có th? là k?t qu? t? nh?ng y?u t? (tr? không ???c h?c cách ?i vào gi?c ng? và duy trì gi?c ng? n?u không có s? hi?n di?n c?a b? m?) ho?c không có th?i gian bi?u ng? c? ??nh và thói quen ?i ng?. M?t ng? ? tr? v? thành niên có th? là do th?i gian bi?u ng? không ??u ??n. C? tr? em l?n tr? v? thành niên, nh?ng y?u t? tâm lý và khoa có th? d?n ??n m?t ng?. T? l? m?c c?a m?t ng? ? nh?ng ng??i già gia t?ng ???c gi?i thích m?t ph?n là do t?ng nh?ng t? l? m?c nh?ng v?n ?? s?c kho? sinh lý liên quan ??n tu?i. S? thay ??i trong mô hình ng? liên quan ??n ti?n trình phát tri?n bình th??ng phân bi?t v?i nh?ng thay ??i quá m?c liên quan ??n tu?i. M?c dù ?a gi?c ng? kí có nh?ng h?n ch? trong ?ánh giá m?t ng? th??ng quy,nh?ng có có th? h?u ích trong ch?n ?oán phân bi?t ? ng??i l?n b?i nguyên nhân m?t ng? (ví d? ng?ng th? khi ng?) th??ng ???c th?y ? ng??i già. Có ph?i b?n ?ang tìm cách ?? có m?t gi?c ng? ngon? Xem ngay bài vi?t: Bác s? mách b?n 9 cách d? ng? c?c hi?u qu? nhé!",Ch?ng m?t ng? th??ng g?p ? nh?ng ng??i tr? và ph? n? th?i k? mãn kinh.,"['ng?', 'm?t', 'th?', 'gi?c']","[0.6678, 0.5339, 0.4798, 0.6073]",0.5,"['ng?', 'gi?c']",0.5,['Nh?ng'],Tr? em và tr? v? thành niên.,0.25,0,0.0932,0.732,0.2688,Tr? em và tr? v? thành niên.,0.2688
11,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Khi nào thì c?n th?c hi?n th? thu?t ch?c hút t? bào b?ng kim nh? ?? ch?n ?oán b?nh ung th? bi?u mô tuy?n giáp th? nang?,"Ch?c hút t? bào b?ng kim nh? ???c xem là th? thu?t ch?n ?oán hàng ??u m?t nhân giáp. ?ây là ph??ng ti?n khá an toàn và xâm l?n t?i thi?u. Ch? ??nh th?c hi?n sinh thi?t b?ng kim nh? (FNAB) tu? thu?c vào kích th??c và nh?ng ??c ?i?m ghi nh?n trên siêu âm c?a nhân giáp: Theo NCCN, FNAB khi nhân >1 cm r?t nghi ng? trên siêu âm, ? 1,5 cm nhân nghi ng? trung bình trên siêu âm và ?2,5 cm nghi ng? ít trên siêu âm. Theo ATA, FNAB cho nh?ng nhân >0,5 cm ???ng kính. Còn theo ESMO, FNAB cho nh?ng nhân >1 cm.2","C?n th?c hi?n th? thu?t ch?c hút t? bào b?ng kim nh? (FNAB) khi nhân giáp có kích th??c >1 cm r?t nghi ng? trên siêu âm, ho?c ? 1,5 cm nghi ng? trung bình trên siêu âm, ho?c ?2,5 cm nghi ng? ít trên siêu âm theo NCCN; ho?c khi nhân giáp có ???ng kính >0,5 cm theo ATA; ho?c khi nhân giáp có kích th??c >1 cm theo ESMO.","['b?ng kim', 'nào thì c?n', 'b?nh ung th?', 'ung th? bi?u', 'giáp th? nang', '?oán b?nh ung', 'ch?n ?oán b?nh', 'tuy?n giáp th?']","[0.5238, 0.4618, 0.5872, 0.6053, 0.683, 0.6038, 0.6094, 0.7325]",0.125,"['tuy?n giáp th?', 'giáp th? nang', 'ch?n ?oán b?nh', 'ung th? bi?u', '?oán b?nh ung']",0,[],Th?c hi?n th? thu?t ch?c hút t? bào b?ng kim nh? ?? ch?n ?oán b?nh ung th? bi?u mô tuy?n giáp th? nang khi nhân >1 cm.,0.4444,0.0645,0.2349,0.7357,0.3699,Th?c hi?n th? thu?t ch?c hút t? bào b?ng kim nh? ?? ch?n ?oán b?nh ung th? bi?u mô tuy?n giáp th? nang khi nhân >1 cm.,0.3699
12,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Tiên l??ng b?nh Lupus ban ?? th? c?p nh? th? nào?,"Tiên l??ng b?nh thay ??i ph? thu?c vào ti?n tri?n và th? b?nh:18 - Th? c?p: b?nh th??ng ti?n tri?n nhanh, gây nhi?u nhi?u t?n th??ng c? quan và th?m chí là t? vong sau vài tháng.
- Th? m?n: th? b?nh này th??ng ti?n tri?n ch?m, tiên l??ng t?t h?n.
- Th? bán c?p: ti?n tri?n t?ng ??t trên n?n b?nh ?n ??nh. ??t sau th??ng ngày càng n?ng d?n. Tình tr?ng b?nh có th? n?ng thêm n?u b?nh nhân ?ang có thai, nhi?m khu?n, ch?n th??ng, ph?u thu?t, stress, l?m d?ng thu?c. Th?i gian s?ng trung bình 5 – 10 n?m. B?nh lupus ban ?? h? th?ng th??ng g?p, bi?u hi?n ?a d?ng ? nhi?u chuyên khoa. Hi?n t?i, m?t s? c? s? y t? t?i Vi?t Nam c?p nh?t ?i?u tr? b?nh nhân Lupus theo nh?ng phác ?? c?p nh?t nh?t trên th? gi?i v?i s? ph?i h?p gi?a hai thu?c c? b?n là corticoid, thu?c kháng s?t rét và các nhóm thu?c ?c ch? mi?n d?ch m?i. Vì v?y, hãy tuân th? theo phác ?? ?i?u tr? và s? h??ng d?n c?a nhân viên y t? ?? gi?m thi?u nguy c? di?n ti?n n?ng, vô ??t bùng phát c?a b?nh và có th? s?ng an toàn v?i b?nh lupus.","B?nh Lupus ban ?? th? c?p th??ng ti?n tri?n nhanh, gây nhi?u t?n th??ng c? quan và có th? d?n ??n t? vong trong vòng vài tháng.","['th?', 'b?nh', 'Tiên l??ng', 'ti?n tri?n']","[0.461, 0.5771, 0.5133, 0.5187]",0.75,['b?nh'],0.3333,['nh? th? nào'],Tiên l??ng b?nh thay ??i ph? thu?c vào ti?n tri?n và th? b?nh.,0.3,0,0.1551,0.6744,0.2824,Tiên l??ng b?nh thay ??i ph? thu?c vào ti?n tri?n và th? b?nh.,0.2824
13,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,T? l? s?ng sót sau 5 n?m khi ?i?u tr? ung th? vòm m?i h?ng b?ng ph??ng pháp hóa tr? là bao nhiêu?,"K?t qu? c?a các th? nghi?m lâm sàng bao g?m c? x? tr? và hóa tr? th??ng báo cáo t? l? s?ng lâu dài là 50-80%. Trong m?t nghiên c?u, t? l? s?ng sót sau 5 n?m là 42% ch? v?i x? tr? và 58% khi ?i?u tr? b?ng hóa tr?. Ung th? vòm h?ng s?ng ???c bao lâu luôn là n?i lo l?ng chung c?a các b?nh nhân. Li?u có con s? c? th? nào ?? tr? l?i cho câu h?i này? M?i b?n cùng YouMed tìm hi?u v? v?n ?? này qua bài vi?t Ung th? vòm h?ng s?ng ???c bao lâu? nhé!",T? l? s?ng sót sau 5 n?m khi ?i?u tr? b?ng hóa tr? là 58%.,"['tr?', 'sót sau', 'ung th? vòm', 'th? vòm m?i', 'ph??ng pháp hóa', 'b?ng ph??ng pháp']","[0.5421, 0.4954, 0.7172, 0.5805, 0.4759, 0.5034]",0.3333,"['ung th? vòm', 'th? vòm m?i']",0,[],T? l? s?ng sót sau 5 n?m khi ?i?u tr? ung th? vòm m?i h?ng b?ng ph??ng pháp hóa tr? là 58%.,0.7778,0.5785,0.9578,0.9186,0.8082,T? l? s?ng sót sau 5 n?m khi ?i?u tr? ung th? vòm m?i h?ng b?ng ph??ng pháp hóa tr? là 58%.,0.8082
14,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,"Trong tr??ng h?p ngo?i tâm thu nh?, ng??i b?nh c?n ph?i làm gì?","Nh?ng tr??ng h?p r?t nh?, h?u nh? không ?nh h??ng gì ??n s?c kh?e, ?ó là khi ngo?i tâm thu ít, th?a, xu?t hi?n ? ng??i tr? tu?i, khám không có b?nh tim gì khác. Khi ?ó ng??i b?nh th??ng không c?n ph?i ?i?u tr?, ch? c?n b? thu?c lá và r??u, s?ng ?i?u ??, tránh nh?ng c?m xúc m?nh, n?u c?n có th? ph?i gi?m b?t lao ??ng c? trí óc l?n chân tay,… Nh?ng tr??ng h?p b?nh n?ng h?n, ngo?i tâm thu xu?t hi?n dày, kèm theo c?m giác khó th?, m?t m?i, tr?ng ng?c… Khi ?ó, ng??i b?nh c?n ph?i ???c ?i?u tr? và s? d?ng thu?c. Tr??ng h?p này, b?nh có th? ti?n tri?n n?ng d?n, làm gi?m hi?u qu? b?m máu c?a tim, khi?n tim ph?i làm vi?c nhi?u h?n bình th??ng và lâu ngày có th? d?n ??n suy tim. Nh?ng tr??ng h?p ngo?i tâm thu xu?t hi?n trên “n?n” c?a nh?ng b?nh tim khác. Khi ?ó, ngo?i tâm thu có th? nguy hi?m h?n và th??ng liên quan ch?t ch? ??n kh? n?ng làm t?ng nguy c? ??t t?. Lúc này, c?n ph?i t?p trung ch?a các b?nh lý chính, ch?a ngo?i tâm thu ch? là m?t ph?n trong ?i?u tr?.","Trong tr??ng h?p ngo?i tâm thu nh?, ng??i b?nh c?n b? thu?c lá và r??u, s?ng ?i?u ??, tránh nh?ng c?m xúc m?nh, n?u c?n có th? ph?i gi?m b?t lao ??ng c? trí óc l?n chân tay,…","['tâm', 'tr??ng h?p']","[0.6405, 0.5809]",1,"['tâm', 'tr??ng h?p']",1,[],"Trong tr??ng h?p ngo?i tâm thu nh?, ng??i b?nh th??ng không c?n ph?i ?i?u tr?, ch? c?n b? thu?c lá và r??u, s?ng ?i?u ??, tránh nh?ng c?m xúc m?nh, n?u c?n có th? ph?i gi?m b?t lao ??ng c? trí óc l?n chân tay,…",0.9091,0.8109,0.9818,0.9639,0.9164,"Trong tr??ng h?p ngo?i tâm thu nh?, ng??i b?nh th??ng không c?n ph?i ?i?u tr?, ch? c?n b? thu?c lá và r??u, s?ng ?i?u ??, tránh nh?ng c?m xúc m?nh, n?u c?n có th? ph?i gi?m b?t lao ??ng c? trí óc l?n chân tay,…",0.9164
15,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,?i?u tr? ngo?i khoa th??ng ???c áp d?ng trong nh?ng tr??ng h?p nào?,"?i?u tr? ngo?i khoa ch? ???c áp d?ng trong nh?ng tr??ng h?p ?i?u tr? n?i khoa th?t b?i. Ho?c trong m?t s? b?nh lý c?n ph?i ph?u thu?t, ch?ng h?n nh?: - Ung th? d? dày.
- Th?ng d? dày.
- Xu?t huy?t d? dày th?t b?i v?i ?i?u tr? n?i khoa.
- Ph?u thu?t c?t b? kh?i u ti?t Gastrin trong h?i ch?ng Zollinger – Ellison. Xem thêm: Trào ng??c d?ch m?t có ph?i là trào ng??c d? dày th?c qu?n?",?i?u tr? ngo?i khoa ch? ???c áp d?ng trong nh?ng tr??ng h?p ?i?u tr? n?i khoa th?t b?i ho?c trong m?t s? b?nh lý c?n ph?i ph?u thu?t.,"['?i?u tr?', 'tr? ngo?i', 'nh?ng tr??ng', 'tr??ng h?p nào', 'd?ng trong nh?ng', 'ngo?i khoa th??ng']","[0.7467, 0.7426, 0.4901, 0.6115, 0.6172, 0.7242]",0.6667,"['?i?u tr?', 'tr? ngo?i', 'ngo?i khoa th??ng', 'd?ng trong nh?ng', 'tr??ng h?p nào']",0.75,[],"?i?u tr? ngo?i khoa th??ng ???c áp d?ng trong nh?ng tr??ng h?p ?i?u tr? n?i khoa th?t b?i ho?c trong m?t s? b?nh lý c?n ph?i ph?u thu?t, ch?ng h?n nh?: Ung th? d? dày, th?ng d? dày, xu?t huy?t d? dày th?t b?i v?i ?i?u tr? n?i khoa, ph?u thu?t c?t b? kh?i u ti?t Gastrin trong h?i ch?ng Zollinger – Ellison.",0.6069,0.3573,0.806,0.8412,0.6528,"?i?u tr? ngo?i khoa th??ng ???c áp d?ng trong nh?ng tr??ng h?p ?i?u tr? n?i khoa th?t b?i ho?c trong m?t s? b?nh lý c?n ph?i ph?u thu?t, ch?ng h?n nh?: Ung th? d? dày, th?ng d? dày, xu?t huy?t d? dày th?t b?i v?i ?i?u tr? n?i khoa, ph?u thu?t c?t b? kh?i u ti?t Gastrin trong h?i ch?ng Zollinger – Ellison.",0.6528
16,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Nh?ng lo?i ch?t nào ???c tìm th?y trong Th?c ??a?,"Hàm l??ng c?a các h?p ch?t trong Th?c ??a thay ??i tùy thu?c vào s? l?n h?p, s?y và ph??ng pháp làm khô. Trong Th?c ??a, ng??i ta tìm th?y các ch?t sau: Catalpol, Galactose, Glucose và Fructose, Maltose và Sucrose. Ngoài ra còn có các lo?i ch?t béo thô và protein thô.","Trong Th?c ??a, ng??i ta tìm th?y các lo?i ch?t nh? Catalpol, Galactose, Glucose và Fructose, Maltose và Sucrose, ch?t béo thô và protein thô.","['Th?c', 'nào ???c tìm', 'ch?t nào ???c', '???c tìm th?y']","[0.6744, 0.5275, 0.6392, 0.5221]",0.25,"['Th?c', 'ch?t nào ???c']",1,[],"Trong Th?c ??a, ng??i ta tìm th?y các ch?t sau: Catalpol, Galactose, Glucose và Fructose, Maltose và Sucrose, các lo?i ch?t béo thô và protein thô.",0.8857,0.7748,0.9593,0.9742,0.8985,"Trong Th?c ??a, ng??i ta tìm th?y các ch?t sau: Catalpol, Galactose, Glucose và Fructose, Maltose và Sucrose, các lo?i ch?t béo thô và protein thô.",0.8985
17,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Tri?u ch?ng ng? ??c khi nu?t ph?i axit salicylic có th? bi?u hi?n ra sao?,"N?u dính thu?c ? m?t, m?i, niêm m?c, ph?i r?a ngay v?i n??c s?ch 15 phút. N?u quá li?u x?y ra khi nu?t ph?i axit salicylic, tri?u ch?ng ng? ??c th??ng bi?u hi?n khác nhau tùy t?ng ng??i nh? th? sâu, nhanh, ù tai, ?i?c, giãn m?ch, ra m? hôi.1 B?n c?n ??n ngay c? s? y t? g?n nh?t ?? ???c x? trí khi dùng quá li?u thu?c.","Tri?u ch?ng ng? ??c do nu?t ph?i axit salicylic có nhi?u bi?u hi?n khác nhau tùy t?ng ng??i, ch?ng h?n nh? th? sâu, th? nhanh, ù tai, ?i?c, giãn m?ch ho?c ra m? hôi.","['ch?ng ng?', 'nu?t ph?i', 'ph?i axit', 'Tri?u ch?ng', 'th? bi?u hi?n']","[0.6261, 0.5936, 0.6404, 0.564, 0.4821]",0.8,"['ph?i axit', 'ch?ng ng?', 'nu?t ph?i', 'Tri?u ch?ng']",1,[],"Tri?u ch?ng ng? ??c khi nu?t ph?i axit salicylic có th? bi?u hi?n khác nhau tùy t?ng ng??i nh? th? sâu, nhanh, ù tai, ?i?c, giãn m?ch, ra m? hôi.",0.875,0.6018,0.8138,0.9504,0.8102,"Tri?u ch?ng ng? ??c khi nu?t ph?i axit salicylic có th? bi?u hi?n ra sao là th? sâu, nhanh, ù tai, ?i?c, giãn m?ch, ra m? hôi.",0.6816
18,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Tôi có nên ??c h??ng d?n s? d?ng tr??c khi dùng thu?c Atelec không?,B?n c?n ??c k? h??ng d?n tr??c khi s? d?ng. Thu?c ch? dùng theo s? kê toa c?a chuyên gia y t?.,"Có, b?n nên ??c k? h??ng d?n tr??c khi s? d?ng thu?c.","['Atelec', 'h??ng d?n', 'tr??c khi', 'Tôi có nên', 'nên ??c h??ng']","[0.7038, 0.5939, 0.5664, 0.4907, 0.5579]",0.4,"['Atelec', 'h??ng d?n', 'tr??c khi', 'nên ??c h??ng']",1,[],"Có, b?n c?n ??c k? h??ng d?n tr??c khi s? d?ng thu?c Atelec.",0.9231,0.6606,0.9163,0.9275,0.8569,"Có, b?n c?n ??c k? h??ng d?n tr??c khi s? d?ng.",0.8295
19,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,"Hi?n t??ng khó th?, th? rít sau hóc x??ng có nguy hi?m không?","Khi ?ã th? các ph??ng pháp trên nh?ng x??ng v?n b? m?c trong c? h?ng và tình tr?ng ng??i b? hóc x??ng có d?u hi?u nghiêm tr?ng nên ngay l?p t?c ??n g?p bác s? ?? ???c g?p ra. Ho?c ??i v?i nh?ng m?u x??ng l?n hay n?m sâu, không nên t? x? lý ? nhà. N?u x??ng cá n?m sâu trong th?c qu?n và không ???c x? trí, nó có th? d?n ??n nh?ng bi?n ch?ng nguy hi?m. Nên ??n khám bác s? ngay khi có các tri?u ch?ng sau ?ây: - Khó th?, th? rít sau hóc x??ng.
- C?n ?au sau hóc x??ng t?ng d?n và không bi?n m?t sau vài ngày.
- ?au ng?c.
- S?ng n? vùng c?, h?ng.
- B?m tím.
- Ch?y n??c mi?ng nhi?u.
- Không th? ?n hay u?ng.","Có, ?ây là d?u hi?u nghiêm tr?ng c?n ??n ngay bác s? ?? ???c g?p x??ng cá ra.","['hóc', 'x??ng', 'khó th?', 'Hi?n t??ng']","[0.5554, 0.6876, 0.6868, 0.4419]",0.25,"['x??ng', 'khó th?', 'hóc']",1,[],"Có, khó th?, th? rít sau hóc x??ng có th? là d?u hi?u c?a m?t b?nh lý nghiêm tr?ng, có th? d?n ??n nh?ng bi?n ch?ng nguy hi?m.",0.4118,0,0.3908,0.7638,0.3916,"Có, hi?n t??ng khó th?, th? rít sau hóc x??ng có th? là d?u hi?u c?a m?t b?nh lý nghiêm tr?ng, có th? d?n ??n nh?ng bi?n ch?ng nguy hi?m.",0.3852
20,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Siêu âm tim là m?t xét nghi?m ???c th?c hi?n trong quá trình ch?n ?oán t?ng huy?t áp ác tính giúp xem xét ?i?u gì?,"M?t s? xét nghi?m có th? ???c ch? ??nh bao g?m: - N?ng ?? nit? urê trong máu (BUN) và creatinin, s? t?ng lên n?u b?n b? t?n th??ng th?n.
- Xét nghi?m ?ông máu.
- M?c ???ng huy?t (glucose).
- Công th?c máu toàn ph?n.
- M?c natri và kali trong máu.
- Phân tích n??c ti?u ?? ki?m tra n?ng ?? hormone trong máu, protein ho?c b?t th??ng liên quan ??n các v?n ?? v? th?n.
- Siêu âm tim ?? ki?m tra ch?c n?ng tim và l?u l??ng máu qua tim.
- ?i?n tâm ?? (ECG) ?? ki?m tra ch?c n?ng ?i?n c?a tim.
- Ch?p X-quang ng?c ?? xem hình d?ng và kích th??c c?a c?u trúc tim và phát hi?n ch?t l?ng trong ph?i.
- Các xét nghi?m hình ?nh khác ?? ?ánh giá th?n và ??ng m?ch c?a chúng.",Ch?c n?ng tim và l?u l??ng máu qua tim.,"['quá trình', 'ch?n ?oán', 'xét nghi?m', 'trình ch?n', 'tính giúp xem', 'nghi?m ???c th?c']","[0.4922, 0.6423, 0.6338, 0.5897, 0.4973, 0.4887]",0,"['ch?n ?oán', 'xét nghi?m', 'trình ch?n']",0,[],Siêu âm tim giúp xem xét ch?c n?ng tim và l?u l??ng máu qua tim.,0.7568,0.5129,0.9429,0.8838,0.7741,Siêu âm tim giúp xem xét ch?c n?ng tim và l?u l??ng máu qua tim.,0.7741
21,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Th?n t?ng h?p các lo?i hormone nào?,"Th?n c?ng có ch?c n?ng chuy?n ??i ti?n ch?t c?a vitamin D thành d?ng ho?t ??ng c?a nó – calcitriol. Ngoa?i ra, thâ?n co?n t?ng h?p các hormone erythropoietin và renin.",Th?n t?ng h?p các hormone erythropoietin và renin.,"['Th?n', 'h?p các', 't?ng h?p', 'các lo?i', 'hormone nào']","[0.7314, 0.4927, 0.5801, 0.4956, 0.7479]",0.6,"['hormone nào', 'Th?n', 't?ng h?p']",0.6667,[],Th?n t?ng h?p các hormone erythropoietin và renin.,1,1,0.9993,1,0.9998,Th?n t?ng h?p các hormone erythropoietin và renin.,0.9998
22,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,H?i ch?ng c?n ung là gì?,"H?i ch?ng này g?m nhi?u r?i lo?n khác nhau xu?t hi?n trên b?nh nhân ung th?. Bên c?nh h? th?n kinh, h?i ch?ng c?n ung c?ng có th? ?nh h??ng ??n các c? quan khác nh?: các hormone (h? n?i ti?t), da li?u, h? máu và kh?p. Nguyên nhân c?a h?i ch?ng này là khi h? th?ng mi?n d?ch t?o ra tác nhân ch?ng l?i t? bào ung th?, các tác nhân này c?ng t?n công h? th?n kinh nh? não, tu? s?ng, dây th?n kinh ngo?i vi ho?c c? b?p. Tu? thu?c vào v? trí h? th?n kinh b? ?nh h??ng, h?i ch?ng này có th? gây ra các v?n ?? nh? b?t th??ng khi v?n ??ng ho?c ph?i h?p c?, r?i lo?n c?m giác, trí nh?, r?i lo?n kh? n?ng t? duy hay ?ôi khi ?nh h??ng gi?c ng? c?a ng??i b?nh. T?n th??ng h? th?n kinh có th? h?i ph?c nh? ?i?u tr? ung th? và tác ??ng lên h? mi?n d?ch. Tuy nhiên, c?n b?nh này c?ng có th? d?n ??n t?n th??ng h? th?n kinh nghiêm tr?ng trong th?i gian ng?n và không th? h?i ph?c. Nh?ng dù sao thì vi?c ?i?u tr? b?nh ung th? n?n và nh?ng can thi?p khác c?ng mang l?i nhi?u l?i ích to l?n. N?u ???c ?i?u tr? phù h?p, bác s? có th? ng?n ng?a nh?ng t?n th??ng m?i và c?i thi?n tri?u ch?ng, c?i thi?n ch?t l??ng cu?c s?ng cho b?nh nhân.","H?i ch?ng c?n ung là m?t nhóm các r?i lo?n ?nh h??ng ??n h? th?n kinh, hormone, da li?u, h? máu và kh?p c?a b?nh nhân ung th? do h? th?ng mi?n d?ch ch?ng l?i t? bào ung th? nh?ng c?ng t?n công các t? bào h? th?n kinh.","['th?n', 'ch?ng', 'ung th?']","[0.4445, 0.6077, 0.5884]",1,"['ch?ng', 'ung th?']",0.6667,[],"H?i ch?ng c?n ung là m?t tình tr?ng r?i lo?n xu?t hi?n trên b?nh nhân ung th?, bao g?m nhi?u r?i lo?n khác nhau.",0.4333,0.1073,0.2524,0.7989,0.398,"H?i ch?ng c?n ung là m?t tình tr?ng r?i lo?n xu?t hi?n trên b?nh nhân ung th?, bao g?m nhi?u r?i lo?n khác nhau.",0.398
23,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thu?c gì ???c tiêm vào bao ho?t d?ch ?? gi?m ?au và kháng viêm?,"Thu?c corticosteroid ???c tiêm vào bao ho?t d?ch s? giúp gi?m ?au và kháng viêm ? nh?ng v? trí nh? vai, khu?u g?i. Corticoid giúp ng?n ch?n m?t ch?t hóa h?c trong c? th? ???c g?i là prostaglandin (m?t ch?t gây viêm). Tuy nhiên thu?c tiêm corticoid không dùng th??ng quy. Ch? nh?ng tr??ng h?p nghiêm tr?ng, ?au viêm nhi?u dai d?ng m?i c?n dùng ??n. V?i ph??ng pháp ?i?u tr? này th??ng s? hi?u qu? gi?m ?au, s?ng viêm nhanh chóng. Thông th??ng trong nhi?u tr??ng h?p, b?n ch? c?n tiêm m?t m?i.",Thu?c corticosteroid ???c tiêm vào bao ho?t d?ch ?? gi?m ?au và kháng viêm.,"['vào bao', 'bao ho?t', 'gi?m ?au', 'tiêm vào', 'ho?t d?ch', 'kháng viêm']","[0.4834, 0.5141, 0.7398, 0.6679, 0.5934, 0.737]",1,"['gi?m ?au', 'kháng viêm', 'tiêm vào', 'ho?t d?ch']",0.6667,[],Thu?c corticosteroid.,0.25,0,0.1852,0.8092,0.3111,Thu?c corticosteroid.,0.3111
