Sample_ID,Model,System_Prompt,Question,Context,Ground_Truth_Answer,PlanAndSolvePlus_EN,Thinking_Content
10,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Nêu tên các triệu chứng vận đông điển hình của bệnh Parkinson?,"Là những triệu chứng ảnh hưởng đến chức năng vận động của cơ thể. Đây là những triệu chứng rõ ràng nhất của bệnh Parkinson. Các triệu chứng vận động chính của bệnh là run, chậm vận động, cứng khớp và cân bằng kém (mất ổn định tư thế). Ở giai đoạn đầu, những triệu chứng này thường nhẹ. Các triệu chứng thường bắt đầu ở một bên của cơ thể và có thể tiến triển thành hai bên sau một vài năm. Khi diễn tiến nặng dần, một vài người có thể gặp khó khăn trong việc đi lại, nói chuyện và các công việc thường ngày khác. Các triệu chứng này thường tiến triển chậm. Tuy nhiên tốc độ diễn tiến sẽ khác nhau ở mỗi người. Các triệu chứng của bệnh Parkinson có thể được kiểm soát tốt trong một thời gian dài. - Run Run điển hình trong bệnh Parkinson là run khi nghỉ. Trong giai đoạn sớm, thường là run không liên tục và khó phát hiện. Một số bệnh nhân cho thấy rằng cảm giác “run bên trong” ở tay, chân hoặc cơ thể mà không thể thấy được. Sau này khi cường độ run nhiều hơn, người ta sẽ dễ chú ý hơn. Run thường xảy ra ở một tay và được mô tả như là đang “lăn viên thuốc”. Sau một vài năm có thể diễn tiến thành run hai bên. Các bộ phận khác cũng có thể bị run như chân, môi, hàm hoặc lưỡi. Tuy vậy, run trong bệnh Parkinson thường không ảnh hưởng đến đầu. Bên bị run đầu tiên cũng có xu hướng bị nặng hơn trong suốt diễn tiến của bệnh. - Chậm vận động Đa số mọi bệnh nhân bệnh Parkinson đều có chậm vận động và có thể làm cho người bệnh cảm thấy yếu sức, mệt mỏi. Ở cánh tay, chậm vận động có thể gây khó khăn trong những hoạt động như cài nút áo, buộc dây giày, đánh máy tính… Chậm vận động có thể khiến cho người bệnh khó nhấc chân lên khi đi, bước đi chậm ngắn hơn và cảm giác không vững. Người bệnh cũng có thể gặp những khó khăn khi thay đổi tư thế từ đang ngồi sang đứng dậy. - Cứng cơ Có thể gặp trong vận động của tay, chân hoặc thân mình. Thường khởi đầu ở một bên của cơ thể cùng những triệu chứng khác như run, chậm vận động. Khi bệnh tiến triển, có thể ảnh hưởng cả hai bên. - Mất thăng bằng (mất ổn định tư thế) Thông thường những phản xạ tự động trong não giúp chúng ta giữ được thăng bằng khi đi hoặc đứng. Ở những người bệnh Parkinson những phản xạ tự động này thường giảm hoặc mất, khiến cho người bệnh bị mất thăng bằng. Mất thăng bằng thường hiếm gặp ở giai đoạn đầu của bệnh, mà thường gặp ở giai đoạn trễ. Khi các phản xạ tự động bị mất, người bệnh có thể gặp khó khăn nhiều hơn trong việc đi lại, thậm chí có thể cần có người hỗ trợ hoặc ngồi xe lăn. Nếu như mất thăng bằng tiến triển sớm ở giai đoạn đầu của bệnh, thì sẽ ít khi nghĩ đến bệnh Parkinson hơn, mà có thể nghĩ đến hội chứng Parkinson khác như teo cơ hệ thống hoặc liệt trên nhân tiến triển.","Các triệu chứng vận đông điển hình của bệnh Parkinson là run, chậm vận đông, cứng khớp và mất thăng bang (mất ổn định tư thể).","### Final Answer:  
Các triệu chứng điển hình của bệnh Parkinson là:  
1. **Đau run** (run).  
2. **Chậm vận động**.  
3. **Cứng cơ**.  
4. **Mất ổn định tư thế**.","Okay, let's tackle this question. The user is asking for the common symptoms of Parkinson's disease in terms of movement. The context provided is a detailed explanation of the symptoms, including run, slow movement, rigidity, and balance issues. 

First, I need to check the key points from the context. The first paragraph mentions that these are the main symptoms, and the first thing to note is ""Run"" as an example. The context also states that ""Run"" is a typical symptom, like when you rest. Then it talks about ""Slow movement"" and ""Rigidity"" as other symptoms. 

I should list these symptoms in a clear list. The answer should be in Vietnamese, so I need to make sure the terms are correctly translated. The user probably wants a list of the main symptoms, so I'll structure the answer accordingly."
11,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Trong trường hợp nào thì Bisoloc được sử dụng để điều trị suy tim?,"Bisoloc được chỉ định trong một số trường hợp: - Tăng huyết áp.
- Đau thắt ngực.
- Suy tim mạn ổn định, từ vừa đến nặng, kèm giảm chức năng tâm thu thất trái đã được điều trị cùng với các thuốc ức chế enzym chuyển, lợi tiểu, và với glycosid trợ tim. Chỉ định này do thầy thuốc chuyên khoa quyết định Bạn nên nhớ đây là thuốc bán theo đơn và chỉ được sử dụng khi có chỉ dẫn của bác sĩ.","Bisoloc được sử dụng để điều trị suy tim mạn ổn định, từ vừa đến nặng, kèm giảm chức năng tâm thu thất trái đã được điều trị cùng với các thuốc ức chế enzym chuyển, lợi tiểu, và với glycosid trợ tim.","### Final Answer:  
Bisoloc được sử dụng để điều trị suy tim mạn ổn định, từ vừa đến nặng, kèm giảm chức năng tâm thu thất trái.","Okay, let's see. The user is asking in Vietnamese, and the question is ""Trong trường hợp nào thì Bisoloc được sử dụng để điều trị suy tim?"" So they want to know in which cases Bisoloc is used for treating heart disease.

Looking at the provided context, the first thing I notice is that Bisoloc is prescribed in some cases. The context says: ""Bisoloc được chỉ định trong một số trường hợp: - Tăng huyết áp. - Đau thắt ngực. - Suy tim mạn ổn định, từ vừa đến nặng, kèm giảm chức năng tâm thu thất trái đã được điều trị cùng với các thuốc ức chế enzym chuyển, lợi tiểu, và với glycosid trợ tim. Chỉ định này do thầy thuốc chuyên khoa quyết định.""

So the answer should be the three cases mentioned: increased blood pressure, chest pain, and stable heart failure. The key points here are that Bisoloc is used for these conditions. The answer should list those three points in Vietnamese. I need to make sure I'm not missing any other information, but the context clearly states those three cases. So the final answer should be the three points listed."
12,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Tỷ lệ lưu hành của phì đại thất trái trong dân số nói chung là bao nhiêu?,"Phì đại thất trái hiện diện ở 15% đến 20% dân số nói chung. Nó thường phổ biến hơn ở người da đen, người già, người béo phì và bệnh nhân cao huyết áp. Một đánh giá về dữ liệu siêu âm tim của 37.700 người cho thấy tỷ lệ lưu hành LVH là 19% – 48% ở người cao huyết áp không được điều trị. Và 58% -77% ở bệnh nhân tăng huyết áp có nguy cơ cao. Sự hiện diện của béo phì cũng làm tăng gấp 2 lần nguy cơ phát triển LVH. Tỷ lệ lưu hành LVH dao động từ 36% đến 41% trong dân số, tùy thuộc vào tiêu chí được sử dụng để xác định nó. Tỷ lệ lưu hành LVH không được báo cáo là khác biệt giữa nam và nữ (khoảng 36,0% so với 37,9% . Tỷ lệ phì đại tâm thấn trái lệch tâm tương đối nhiều hơn so với phì đại đồng tâm.",Tỷ lệ lưu hành của phì đại thất trái trong dân số nói chung dao động từ 15% đến 20%.,"### Final Answer:  
Tỷ lệ lưu hành của phì đại thất trái trong dân số nói chung là khoảng 15-20%.","Okay, let's tackle this question. The user is asking for the percentage of heart failure in the general population. The provided context mentions that it's present in 15% to 20% of the population. Then it gives some statistics: 19% to 48% in people with hypertension, and 58% to 77% in those with high risk. Also, it states that obesity increases the risk by a factor of two. The answer should be in Vietnamese, so I need to make sure I use the right numbers and terms.

First, I need to check the numbers given. The initial statement says 15-20% is the general percentage. Then later, it mentions 19-48% for hypertension and 58-77% for high risk. The question is asking for the general population, so the answer should be the 15-20% range. The numbers in the context are given as 15-20%, so I can directly state that. There's no need to go into the other statistics unless the question is asking for a specific range. The answer should be in Vietnamese, so I'll format it accordingly."
13,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,"Trong trường hợp máu mất rỉ ra và không được phát hiện, người bệnh sẽ có những dấu hiệu gì?","- Khi lượng máu mất nhiều và đột ngột, người bệnh có thể có triệu chứng như đau đầu, chóng mặt, ù tai. Nặng nề hơn là khó thở, hạ huyết áp hay ngất. Đây là những dấu hiệu nặng cần được đến cấp cứu ngay.
- Nếu máu mất rỉ ra mà không được phát hiện, người bệnh sẽ có những dấu hiệu của thiếu máu mạn như xanh xao, mệt mỏi, giảm trí nhớ, giảm vận động,…","Nếu máu mất rỉ ra mà không được phát hiện, người bệnh sẽ có những dấu hiệu của thiếu máu mạn như xanh xao, mệt mỏi, giảm trí nhớ, giảm vận động,…","### Final Answer:  
Trong trường hợp máu mất rỉ ra và không được phát hiện, người bệnh có thể gặp các dấu hiệu như đau đầu, chóng mặt, ù tai, khó thở, mệt mỏi, giảm trí nhớ, và giảm vận động.","Okay, let's see. The user is asking what symptoms a patient would experience if their blood is lost and not detected. The context provided mentions that in such cases, symptoms include headache, dizziness, and difficulty breathing. It also states that if the bleeding isn't detected, the patient might show signs like lethargy, fatigue, and reduced memory. 

So, the answer should list those symptoms. I need to make sure I don't miss any key points from the context. The first part of the context talks about symptoms when blood loss is sudden, and the second part about not detecting the bleeding leading to other symptoms. 

I should check if there's any other information in the context that might affect the answer. The context doesn't mention anything else, so the answer should be based solely on what's provided. 

Putting it all together, the answer should list the symptoms as specified in the context."
14,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Tác dụng của thuốc cisapride trên trẻ em như thế nào?,Thuốc cisaprid bài tiết qua sữa mẹ. Nên thận trọng khi dùng thuốc cho phụ nữ trong thời kỳ cho con bú. Tác dụng trên trẻ em chưa được rõ.,Tác dụng trên trẻ em chưa được rõ.,"### Final Answer:  
Cisapride tác dụng trên trẻ em chưa được rõ. Thuốc được bài tiết qua sữa mẹ, nên cần thận trọng khi dùng cho phụ nữ trong thời kỳ cho con bú. Tác dụng cụ thể của thuốc vẫn chưa được rõ ràng.","Okay, let's see. The user is asking about the effects of cisapride on children. The context provided mentions that the drug is secreted through breast milk, and it's important to be cautious when using it during breastfeeding. Also, the child's development is not clear.

So, the key points here are that the drug is given to breastfed mothers, and the child's development isn't clear. The question is about the effects on the child. The answer should mention that the drug is secreted through the mother's milk, so it's given to the child, and that the effects on the child's development aren't clear. I need to make sure I'm not missing any other details. The context doesn't mention any specific effects like side effects or symptoms, just the information given. So the answer should be concise, stating that the drug is given to the child and that the effects aren't clear."
15,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Giải áp vi mạch là phương pháp như thế nào?,"Một số thủ thuật thường có thể giúp kiểm soát cơn đau do đau dây thần kinh sinh ba nếu điều trị thuốc thất bại, bao gồm: Cắt rễ bằng tần số phóng xạ nhiệt Đây là phương pháp ứng dụng nhiều nhất bằng cách tạo ra tổn thương nhiệt ở hạch hoặc dây thần kinh sinh ba. Ưu điểm: Giảm đau trong giai đoạn ngắn > 80% bệnh nhân điều trị. Nhược điểm: - Những nghiên cứu lâu dài cho thấy đau tái phát trong một số phần trăm bệnh nhân.
- Các biến chứng bao gồm tê một phần mặt, thỉnh thoảng có loạn cảm khó chịu, yếu cơ cắn, và nguy cơ mất phân bố thần kinh giác mạc gây viêm giác mạc thứ phát khi điều trị ở cho nhánh V1 trong đau thần kinh sinh ba. Phẫu thuật phóng xạ bằng tia Gamma Phương pháp này mang lại hiệu quả giảm đau hoàn toàn cho hơn 2/3 bệnh nhân. Ưu điểm: Sự đáp ứng giảm đau thường kéo dài theo thời gian. Các nguy cơ biến chứng nguy hiểm thấp hơn so với phương pháp cắt rễ bằng tần số phóng xạ nhiệt Nhược điểm: Ít hiệu quả hơn một chút so với cắt rễ bằng tần số phóng xạ nhiệt Giải áp vi mạch Phương pháp này đòi hỏi một thủ thuật mở hộp sọ dưới chẩm. Phù hợp với những người có sức khỏe tốt, có thể chịu được phẫu thuật và gây mê toàn thân và có thể chịu được lối sống phù hợp với thời gian hồi phục từ bốn đến sáu tuần. ` Bác sĩ phẫu thuật rạch một đường sau tai và cắt bỏ một mảnh hộp sọ nhỏ để tiếp cận với dây thần kinh và mạch máu. Sau đó, bác sĩ phẫu thuật đặt một lớp đệm cách nhiệt xung quanh mạch máu để nó không còn chèn ép hoặc cọ xát vào dây thần kinh Ưu điểm: - Trong các phương pháp điều trị phẫu thuật khác nhau, nó có tỉ lệ thành công lâu dài cao nhất (~50% bệnh nhân giảm đau hoàn toàn sau 3 năm thực hiện phương pháp này).
- Ngoài ra, có thể thực hiện thực hiện ở bệnh nhân trước đây đã cắt rễ bằng tần số phóng xạ nhiệt hay phẫu thuật phóng xạ bằng tia Gamma có đau trở lại.
- Giải toả áp lực lên dây thần kinh sinh ba.
- Trên 70% có hiệu quả với tỉ lệ thấp tái phát đau. Nhược điểm: Số ít phần trăm các trường hợp tổn thương dây thần kinh sọ VII và VIII quanh thời điểm phẫu thuật. Mặc dù đau dây thần kinh sinh ba không gây tử vong, nhưng những cơn đau và sự lo lắng mà nó gây ra có thể làm giảm chất lượng cuộc sống của một người. Vì thế bệnh nhân cần hợp tác chặt chẽ với bác sỹ để tìm ra phương pháp điều trị tốt nhất cho mỗi cá nhân. Phẫu thuật điều trị bệnh rất tinh vi và chính xác vì vùng liên quan rất nhỏ. Do đó, cần tìm đến các bác sĩ phẫu thuật thần kinh có kinh nghiệm để khám và điều trị hiệu quả nhất.","Giải áp vi mạch là phương pháp phẫu thuật mở hộp sọ dưới chẩm, bác sĩ sẽ rạch một đường sau tai và cắt bỏ một mảnh hộp sọ nhỏ để tiếp cận với dây thần kinh và mạch máu. Sau đó, bác sĩ sẽ đặt một lớp đệm cách nhiệt xung quanh mạch máu để nó không còn chèn ép hoặc cọ xát vào dây thần kinh.","### Final Answer:  
Giải áp vi mạch là phương pháp áp dụng để giải áp lực lên dây thần kinh sinh ba. Phương pháp này mang lại hiệu quả giảm đau hoàn toàn cho hơn 2/3 bệnh nhân, với ưu điểm là tỉ lệ thành công lâu dài cao (~50% bệnh nhân giảm đau hoàn toàn sau 3 năm thực hiện).","Okay, let's tackle this question. The user is asking, ""Giải áp vi mạch là phương pháp như thế nào?"" which translates to ""What is the application of the pressure release method?"" So, I need to answer based on the provided context.

First, I'll look through the Context. The Context mentions several methods: Radiofrequency (RF) heating, Gamma radiation, and the ""solution"" method. The ""solution"" method is described as a way to release pressure. Let me check the relevant parts again.

In the Context, there's a line: ""Giải áp vi mạch Phương pháp này mang lại hiệu quả giảm đau hoàn toàn cho hơn 2/3 bệnh nhân. Ưu điểm: ... các phương pháp khác nhau, có tỉ lệ thành công lâu dài cao nhất (~50% bệnh nhân giảm đau hoàn toàn sau 3 năm thực hiện phương pháp này."" Then later, there's a mention: ""Giải áp vi mạch Phương pháp này đòi hỏi một thủ thuật mở hộp sọ dưới chẩm. Phù hợp với những người có sức khỏe tốt..."" So, the ""solution"" method is the pressure release method. The answer should state that it's the pressure release method, and the context confirms that."
16,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Phương pháp nào được sử dụng để chiết xuất tinh dầu hoa cam?,"Tinh dầu hoa cam là tinh dầu chiết xuất từ hoa của cây cam đắng. Tên khoa học: Citrus aurantium L.1 Người ta dùng phương pháp chưng cất tinh dầu bằng hơi nước (steam distillation) hoặc chưng cất hydro (hydrodistillation). Để chiết tách triệt để tinh dầu, người ta còn dùng thêm một số loại dung môi hóa học như hexan. Sau đó tách lọc dung môi, cô đặc mới thu được toàn bộ lượng tinh dầu. Tinh dầu này có mùi hoa ngọt, màu vàng nhạt, và hơi đắng nhẹ.",Phương pháp chưng cất tinh dầu bằng hơi nước (steam distillation) hoặc chưng cất hydro (hydrodistillation) được sử dụng để chiết xuất tinh dầu hoa cam.,"### Final Answer:  
Phương pháp được sử dụng để chiết xuất tinh dầu hoa cam là phương pháp chưng cất tinh dầu bằng hơi nước (steam distillation) hoặc chưng cất hydro (hydrodistillation).","Okay, let's see. The user is asking which method is used to extract the camille oil. The context provided mentions that the oil is extracted using steam distillation or hydrodistillation. Also, they mention that the method is done by heating with steam or using water. The answer should be in Vietnamese, so I need to make sure I use the correct terms.

Looking at the context again, the key points are: the oil is obtained through steam distillation or hydrodistillation. The steps include using steam or water. So the answer should be ""phương pháp steam distillation hoặc hydrodistillation"". I need to check if there's any other information that might affect this, but the context clearly states those two methods. No other details are needed here. So the final answer is in Vietnamese."
17,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thành phần của bài thuốc trị đau bao tử do lạnh dùng Xuyên tiêu gồm những gì?,"Xuyên tiêu 4g, Phụ tử 10g (sắc trước), Khương bán hạ 10g. Tán bột mịn làm hoàn, mỗi lần uống 6g, ngày 2 lần.","Bài thuốc này bao gồm Xuyên tiêu 4g, Phụ tử 10g, Khương bán hạ 10g.","### Final Answer:  
Bài thuốc trị đau bao tử do lạnh dùng Xuyên tiêu gồm: Xuyên tiêu 4g, Phụ tử 10g, Khương bán hạ 10g.","Okay, let's see. The user is asking about the composition of the pain-relieving medicine that uses Xuyên tiêu. The context provided is a recipe: Xuyên tiêu 4g, Phụ tử 10g, Khương bán hạ 10g, mixed into a powder, each dose 6g, taken twice a day. 

First, I need to parse this. The key components here are the three herbs: Xuyên tiêu, Phụ tử, and Khương bán hạ. The quantities are 4g, 10g, and 10g respectively. The mixture is made by dissolving them, so the answer should list these three herbs along with their respective dosages. The question is straightforward, so the answer should just list them in the order given. I should check if there's any other information that might affect the answer, but the context doesn't mention any other ingredients. So the final answer should be the three herbs with their quantities."
18,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thành phần chính có trong thuốc Alpha-Kiisin là gì?,"Thuốc Alpha-Kiisin được sản xuất bởi Công ty Cổ phần Pymepharco. Thuốc có thành phần chính là Chymotrypsine (hay Alpha-chymotrypsine). Thuốc được chỉ định dùng trong chống viêm, chống phù nề dạng men. Thuốc có dạng viên nén, 1 hộp gồm 10 vỉ x 10 viên.",Thành phần chính có trong thuốc Alpha-Kiisin là Chymotrypsine (hay Alpha-chymotrypsine).,### Final Answer: Thành phần chính trong thuốc Alpha-Kiisin là Chymotrypsine.,"Okay, let's see. The user is asking about the main components of Alpha-Kiisin. I need to check the provided context. The Context says that Alpha-Kiisin is produced by Pymepharco, and its main component is Chymotrypsine. It's a pill containing 10 tablets, each with 10 tablets. So the answer should directly state that the main component is Chymotrypsine. I need to make sure I don't miss any other info, like the dosage or form, but the question only asks for the main components, so that's all."
19,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Nêu tên một số loại thuốc có thể gây suy yếu sự bài tiết của bilirubin liên hợp?,"Bilirubin liên hợp được bài tiết qua màng ống mật của tế bào gan, vận chuyển tích cực ngược chiều gradient nồng độ. Sự tái hấp thu của bilirubin liên hợp bởi các tế bào gan được trung gian bởi các chất vận chuyển anion hữu cơ bề mặt. Tăng cường lưu lượng mật (ví dụ bằng cách truyền muối mật) hoặc điều trị bằng phenobarbital làm tăng khả năng bài tiết bilirubin tối đa. Mặt khác, sự bài tiết của bilirubin liên hợp bị suy yếu trong một số tình trạng mắc phải (ví dụ, viêm gan do rượu hoặc virus, ứ mật của thai kỳ) và các rối loạn di truyền. Nó cũng có thể được gây ra bởi nhiều loại thuốc (ví dụ, steroid được alkyl hóa, chlorpromazine).","Một số loại thuốc có thể gây suy yếu sự bài tiết của bilirubin liên hợp bao gồm steroid được alkyl hóa, chlorpromazine.","### Final Answer:  
Số một số loại thuốc có thể gây suy yếu sự bài tiết của bilirubin liên hợp là steroid được alkyl hóa và chlorpromazine.","Okay, let's see. The user is asking for the names of some drugs that can cause the decrease in bilirubin conjugation. I need to check the provided context to find that information.

Looking at the context, it mentions that bilirubin conjugation is increased by transporting through the membrane, and that increased fluid flow or using phenobarbital increases bilirubin excretion. Then it says that in some conditions like hepatitis due to alcohol or virus, the conjugation is weakened. Also, it mentions that bilirubin can be caused by drugs like steroids or chlorpromazine.

So the answer should list these drugs: steroids and chlorpromazine. I need to make sure the names are correct and in Vietnamese. Let me check again. Yes, the context says ""có thể được gây ra bởi nhiều loại thuốc (ví dụ, steroid được alkyl hóa, chlorpromazine)."" So the answer is steroids and chlorpromazine."
